bins,trackName,artistName,num_stream,avg_perc_streamed,num_stream_score,skip_cume_dist,score,score_rank
6,"Son of Beast",to1,845,98.17,100,91.96,96.71,1
6,"Rock with you",seventeen,582,97.98,99.95,91.85,96.59,2
6,"You make Me",day6,108,98.59,98.83,92.08,96.5,3
6,"Ready to love",seventeen,255,97.76,99.63,91.79,96.39,4
6,WAVE,cix,187,97.42,99.25,91.91,96.19,5
6,"Tear Drop",sf9,289,96.99,99.68,91.74,96.14,6
6,"0X1=LOVESONG (I Know I Love You) feat. Seori","tomorrow x together",497,97.12,99.89,91.4,96.14,6
6,"everything sucks (feat. Eric Nam)",vaultboy,243,97.25,99.47,91.62,96.11,8
6,Lazy,woosung,192,97.06,99.31,91.68,96.02,9
6,"Down (Kor ver.)",a.c.e,329,96.84,99.73,91.45,96.01,10
5,"Now or Never",sf9,93,94.99,98.29,90.61,94.63,1
5,TWILIGHT,wei,87,94.54,97.97,90.66,94.39,2
5,HIGHLIGHT,seventeen,77,92.52,97.6,89.7,93.27,3
5,PHOTO,verivery,87,92.80,98.03,88.74,93.19,4
5,Magic,"tomorrow x together",81,92.08,97.92,89.53,93.18,5
5,"17 (feat. Joshua and DK of SEVENTEEN)","pink sweat$",75,91.67,97.44,89.47,92.86,6
5,"Merry Bad Ending","the boyz",79,91.92,97.92,87.38,92.41,7
5,THANKS,seventeen,85,90.33,98.13,87.15,91.87,8
5,Easy,"stray kids",99,89.78,98.51,86.64,91.64,9
5,"Slow Dive",a.c.e,98,89.18,98.4,85.74,91.11,10
4,"Pump It Up","golden child",58,96.60,92.16,91.28,93.35,1
4,"Love Killa","monsta x",67,92.51,96.69,89.98,93.06,2
4,FLASH,x1,64,94.63,94.19,90.21,93.01,3
4,Lose,wonho,57,95.29,91.47,91.51,92.76,4
4,"Why Not",loona,64,93.81,94.19,89.93,92.64,5
4,"Do Re Mi",seventeen,74,91.24,97.28,88.79,92.44,6
4,Spider,hoshi,59,94.03,92.16,91.06,92.42,7
4,Energetic,"wanna one",58,93.46,92.16,90.55,92.06,8
4,"Make A Wish (Birthday Song)","nct u",55,94.33,90.56,90.78,91.89,9
4,"We Ride","brave girls",57,93.54,91.47,90.44,91.82,10
3,Tamed-Dashed,enhypen,30,99.66,87.68,92.02,93.12,1
3,LO$ER=LO♡ER,"tomorrow x together",41,94.30,88.53,91.23,91.35,2
3,Thunderous,"stray kids",48,93.84,89.39,90.72,91.32,3
3,TRIGGER,verivery,42,94.04,88.64,90.95,91.21,4
3,|Believer|,sf9,40,92.36,88.53,89.47,90.12,5
3,"What Do I Know","ed sheeran",29,91.31,87.41,90.15,89.62,6
3,"I Feel So Lucky (feat. A.C.E)",hcue,44,89.87,89.01,88.17,89.02,7
3,"B.T.W (feat. Jay Park) - Prod. Cha Cha Malone","jay b",41,91.78,88.37,86.81,88.99,8
3,"Move My Body",cix,46,89.97,89.33,87.1,88.8,9
3,"PTT (Paint The Town)",loona,44,89.82,89.01,86.64,88.49,10
2,LUNA,oneus,18,94.68,86.19,90.38,90.42,1
2,Try,"just b",14,93.69,84.85,90.95,89.83,2
2,"THRILL RIDE","the boyz",21,91.45,86.51,89.81,89.26,3
2,Queendom,"red velvet",22,91.86,86.77,88.57,89.07,4
2,DOMINO,"stray kids",21,90.83,86.51,88.34,88.56,5
2,Autobahn,"monsta x",16,88.31,85.55,85.12,86.33,6
2,"Adore You","harry styles",10,90.25,83.2,85.51,86.32,7
2,"Close Your Eyes",kshmr,11,89.86,83.2,81.78,84.95,8
2,"Rush Hour","monsta x",20,85.85,86.35,82.29,84.83,9
2,"No More X",to1,21,86.69,86.77,81.04,84.83,9
1,REVEAL,"the boyz",7,96.50,72.85,90.95,86.77,1
1,"GO GO",cravity,9,89.75,80.21,88.68,86.21,2
1,"SO BAD",stayc,10,86.72,81.87,89.47,86.02,3
1,Rewind,oneus,6,94.52,77.44,84.21,85.39,4
1,"Dumb Dumb","red velvet",6,96.21,68.32,90.38,84.97,5
1,Twilight,oneus,9,88.89,80.21,84.21,84.44,6
1,"Save Me",bts,9,88.89,80.21,84.21,84.44,6
1,"LA DI DA",everglow,5,95.16,68.32,89.47,84.32,8
1,Promise,ateez,9,83.79,80.21,88.68,84.23,9
1,"Sweet Chaos",day6,8,87.50,77.44,81.32,82.09,10
0,"MY I",seventeen,5,100.00,59.73,100,86.58,1
0,FUN!,fromis_9,5,100.00,59.73,100,86.58,1
0,Pirate,everglow,5,100.00,59.73,100,86.58,1
0,"Killing Me","chung ha",5,100.00,59.73,100,86.58,1
0,Shhh,seventeen,4,98.70,59.73,100,86.14,5
0,CLAP,seventeen,4,100.00,50.88,100,83.63,6
0,Lullaby,got7,4,100.00,50.88,100,83.63,6
0,Thunder,verivery,4,100.00,50.88,100,83.63,6
0,Superhuman,"nct 127",4,100.00,50.88,100,83.63,6
0,pov,"ariana grande",3,100.00,50.88,100,83.63,6
0,LILAC,iu,4,100.00,50.88,100,83.63,6
