trackName,artistName,num_stream,avg_perc_streamed,num_stream_score,skip_cume_dist,score
"I Like That","lee jin hyuk",65,87.25,94.72,84.55,88.84
"Cherry Bomb","nct 127",69,86.16,96.11,84.21,88.83
"Move My Body",cix,46,89.97,89.33,87.1,88.8
"Adore U",seventeen,67,87.73,96.11,82.34,88.73
Together,seventeen,70,87.40,96.69,82.06,88.72
DOMINO,"stray kids",21,90.83,86.51,88.34,88.56
"Giddy Up","the boyz",57,89.27,92.16,84.21,88.55
"PTT (Paint The Town)",loona,44,89.82,89.01,86.64,88.49
"Ohh Ahh",cravity,60,87.31,93.17,84.83,88.44
COOL,"weki meki",60,87.78,92.37,84.83,88.33
"STAY YOUNG",ab6ix,63,86.52,94.19,84.21,88.31
寂寞号登机口,文俊辉,62,86.02,94.19,84.61,88.27
"Lay Back",verivery,110,85.33,98.88,80.53,88.25
"Snap Shoot",seventeen,116,84.93,98.99,80.81,88.24
Accident,woodz,68,86.20,96.69,81.49,88.13
"Young Blood",drippin,58,86.92,91.68,85.8,88.13
Daisy,pentagon,72,86.49,96.91,80.76,88.05
"Take Me Higher - Complete Version",a.c.e,57,87.40,91.47,85,87.96
Décalcomanie,mamamoo,68,86.00,95.68,82.17,87.95
"FAME (feat. JUNNY) - Prod. GroovyRoom","jay b",46,89.28,89.92,84.44,87.88
"Summer Breeze",sf9,67,85.45,96.11,81.95,87.84
"Solo (feat. Hoody)","jay park",100,85.53,98.51,79.34,87.79
Phobia,"stray kids",50,88.89,89.71,84.72,87.77
"Hot Sauce","nct dream",53,87.89,90.24,84.66,87.6
CROWN,"tomorrow x together",60,86.14,92.37,84.21,87.57
GLASSY,"jo yuri",36,89.34,87.95,85.34,87.54
"Blue Flame",astro,75,84.83,97.28,80.19,87.43
MAGO,gfriend,64,87.46,94.19,80.65,87.43
Genie,"golden child",68,84.35,95.68,82.17,87.4
"Heart to Break","kim petras",47,86.87,89.49,85.68,87.35
"Fireworks (I'm The One)",ateez,72,85.10,97.17,79.63,87.3
D.D.D,"the boyz",64,86.65,94.19,80.65,87.16
"I am YOU","stray kids",66,85.26,94.99,81.1,87.12
Candy,baekhyun,55,86.42,90.56,84.38,87.12
하이힐,"brave girls",65,85.68,94.72,80.19,86.86
"Get Away",verivery,55,85.31,90.83,84.38,86.84
Beautiful,gaho,63,85.42,94.72,80.31,86.82
REVEAL,"the boyz",7,96.50,72.85,90.95,86.77
riBBon,bambam,60,84.71,94.19,80.93,86.61
FUN!,fromis_9,5,100.00,59.73,100,86.58
Home,seventeen,65,85.86,94.72,79.17,86.58
"MY I",seventeen,5,100.00,59.73,100,86.58
"Killing Me","chung ha",5,100.00,59.73,100,86.58
Pirate,everglow,5,100.00,59.73,100,86.58
"I Don't Know",seventeen,63,84.55,94.72,80.31,86.53
"Déjà Vu","nct dream",72,84.07,97.01,78.49,86.52
Sunshine,"stray kids",53,86.50,90.56,82.46,86.51
"Second Life",seventeen,69,84.69,96.37,78.21,86.42
"Make it",2pm,38,86.27,88,85,86.42
"RED MOON",kard,61,85.70,93.17,80.36,86.41
Autobahn,"monsta x",16,88.31,85.55,85.12,86.33
