trackName,artistName,num_stream,avg_perc_streamed,num_stream_score,skip_cume_dist,score
Rumor,"h.i.n.p (hot issue of ntl. producers)",1,100.00,21.49,100,73.83
"DDU-DU DDU-DU",blackpink,1,100.00,21.49,100,73.83
MOONLIGHT,twice,1,100.00,21.49,100,73.83
"WHAT'S GOIN' ON","omega x",1,100.00,21.49,100,73.83
"Not Friends (Sung by HeeJin, Kim Lip, JinSoul, Yves) (Prod. RYAN JHUN)",loona,1,100.00,21.49,100,73.83
Egotistic,aoa,1,99.95,21.49,100,73.81
"Lilili Yabbay",seventeen,5,81.44,59.73,80.19,73.79
Nightmares,"the boyz",18,68.74,85.92,66.67,73.78
"U MAD",bobby,1,99.85,21.49,100,73.78
"We Lost The Summer","tomorrow x together",1,99.74,21.49,100,73.74
"Get Your Wish","porter robinson",1,99.71,21.49,100,73.73
Siren,sunmi,4,82.06,50.88,88.17,73.7
"The City (with Quinn XCII)","louis the child",4,82.02,50.88,88.17,73.69
"If Without You",ateez,6,80.71,68.32,71.93,73.65
"Out Of The Dark - Fatum Remix",tritonal,1,98.82,21.49,100,73.44
"Then, Now and Forever",cnblue,10,70.87,81.87,67.52,73.42
Destiny,up10tion,8,72.92,77.44,69.78,73.38
"Know me",gemini,5,80.13,59.73,80.19,73.35
"Baby Don’t Like It 나쁜 짓","nct 127",4,80.46,50.88,88.17,73.17
"Freeze (KARTRIDER X LINE FRIENDS [Original Game Soundtrack], Pt. 1)","nct 127",1,97.93,21.49,100,73.14
"SHA LA LA",pentagon,9,71.04,80.21,67.69,72.98
"BAD SAD AND MAD",bibi,1,97.41,21.49,100,72.97
"Kick It","nct 127",11,68.24,83.89,66.72,72.95
24H,seventeen,6,73.89,72.85,71.93,72.89
"Victory Song","stray kids",3,92.64,41.23,84.21,72.69
Salty,"the boyz",6,72.93,68.32,76.74,72.66
"Best Friend (feat. Doja Cat)",saweetie,14,67.20,84.85,64.97,72.34
MOVE,taemin,6,71.59,68.32,76.74,72.22
"Roller Coaster","chung ha",10,67.08,81.87,67.52,72.16
Mansae,seventeen,7,71.94,77.44,65.99,71.79
"Bad Alive - English Version",wayv,7,71.67,77.44,65.99,71.7
YOUTH,"troye sivan",7,71.55,77.44,65.99,71.66
Mammoth,cravity,13,65.73,84.43,64.74,71.63
"Getting Closer",seventeen,11,66.63,83.2,65.03,71.62
FLOWER,verivery,8,67.42,77.44,69.78,71.55
"My My",seventeen,10,67.43,81.87,65.2,71.5
"Pretty Savage",blackpink,8,71.33,77.44,65.48,71.42
"Amusement Park",baekhyun,7,74.89,72.85,65.99,71.24
"We Still",astro,3,87.95,41.23,84.21,71.13
"Kiss and Make Up","dua lipa",5,80.18,59.73,73.17,71.03
9LIVES,hyolyn,5,80.16,59.73,73.17,71.02
"Right Back (feat. A Boogie Wit Da Hoodie)",khalid,5,80.15,59.73,73.17,71.02
Limbo,robotaki,5,80.10,59.73,73.17,71
"놓아 놓아 놓아 Letting Go",day6,5,80.00,59.73,73.17,70.97
Answer,ateez,5,80.00,59.73,73.17,70.97
"Bye bye my blue","yerin baek",10,65.66,81.87,65.2,70.91
"VERY NICE",seventeen,8,65.43,77.44,69.78,70.88
FLY,gaho,9,66.91,80.21,65.31,70.81
"Play Hard",sf9,33,59.77,87.73,64.8,70.77
"La Vie en Rose",iz*one,5,72.09,59.73,80.19,70.67
"Not Shy",itzy,10,65.39,81.87,64.74,70.67
Butterfly,bts,8,68.87,77.44,65.48,70.6
"No More Dream",bts,9,65.73,80.21,64.74,70.23
NonStop,"nct 127",6,70.39,68.32,71.93,70.21
"Forever (feat. Post Malone & Clever)","justin bieber",7,71.77,72.85,65.99,70.2
Peek-A-Boo,"red velvet",13,61.36,84.43,64.74,70.18
"Make or Break","the boyz",7,67.22,72.85,70.4,70.16
"First Love","nct 127",13,59.93,84.43,66.04,70.13
"Love Me For The Weekend (with Ashe)","party pupils",7,71.49,72.85,65.99,70.11
Obliviate,lovelyz,7,71.50,72.85,65.99,70.11
Divin',cravity,14,60.20,85.17,64.97,70.11
"Bet You Wanna (feat. Cardi B)",blackpink,10,63.14,81.87,65.2,70.07
HIT,seventeen,15,59.50,85.71,64.86,70.02
"Chicken Noodle Soup (feat. Becky G)",j-hope,12,61.36,83.89,64.74,70
Forever,sf9,11,61.89,83.2,64.74,69.94
Devil,clc,3,83.90,41.23,84.21,69.78
Lady,exid,3,83.78,41.23,84.21,69.74
"SOME MORE",gray,7,70.24,72.85,65.99,69.69
"Boy With Luv (feat. Halsey)",bts,11,60.82,83.2,64.74,69.59
ONE&ONLY,astro,8,65.49,77.44,65.48,69.47
OUCH,day6,3,82.68,41.23,84.21,69.37
"Any song",zico,6,72.87,68.32,66.67,69.29
"Winter Falls","stray kids",3,82.04,41.23,84.21,69.16
"Feel Good (feat. Daya) - Crankdat Remix",gryffin,5,74.40,59.73,73.17,69.1
FLOW,"monsta x",7,62.93,72.85,70.4,68.73
"Looped Up (feat. VERNON)","tobi lou",5,65.42,72.85,67.52,68.6
"Picky Picky","weki meki",3,79.82,41.23,84.21,68.42
"Lion Heart",oneus,6,67.50,72.85,64.74,68.36
Bicycle,"chung ha",5,77.79,59.73,67.52,68.35
K-TOWN,"jay park",7,67.39,72.85,64.74,68.33
"Over Getting Over You","said the sky",3,79.50,41.23,84.21,68.31
9-TEEN,seventeen,4,75.21,59.73,69.78,68.24
"Age Of Innocence",elephante,4,77.07,50.88,76.74,68.23
SIREN,p1harmony,4,75.07,59.73,69.78,68.19
"WEE WOO",pristin,4,75.02,59.73,69.78,68.18
"You Smile",astro,4,76.90,50.88,76.74,68.17
"Still love",a.c.e,5,71.02,59.73,73.17,67.97
Misfit,"nct u",6,68.72,68.32,66.67,67.9
"Show & Tell","said the sky",2,95.61,31.36,76.74,67.9
"Stay Here",gaho,6,68.37,68.32,66.67,67.79
"GO BABY",kard,2,95.11,31.36,76.74,67.74
POOL,woodz,2,75.06,50.88,76.74,67.56
DDD,exid,4,75.03,50.88,76.74,67.55
"You can't sit with us",sunmi,4,75.00,50.88,76.74,67.54
"Stand by you",a.c.e,8,60.14,77.44,64.74,67.44
Leaving,illenium,6,67.33,68.32,66.67,67.44
"SLOW DOWN",stayc,41,61.64,88.37,52.07,67.36
"Good Thing","nct 127",3,88.37,41.23,71.93,67.18
"Feel Special",twice,6,67.46,68.32,64.74,66.84
"WITH YOU",wonho,9,54.88,80.21,65.31,66.8
Campfire,seventeen,7,61.27,72.85,65.99,66.7
Bungee,baekhyun,6,67.05,68.32,64.74,66.7
Honest,"san holo",6,66.95,68.32,64.74,66.67
"Love Shot",exo,6,66.96,68.32,64.74,66.67
"Love Talk - English Version",wayv,6,66.90,68.32,64.74,66.65
Chilli,seventeen,6,66.90,68.32,64.74,66.65
"Love Wheel",astro,6,64.94,68.32,66.67,66.64
"Flight 609",max,6,66.83,68.32,64.74,66.63
Changes,lauv,6,66.75,68.32,64.74,66.6
"Black Swan",bts,7,61.93,72.85,64.74,66.51
"How You Like That",blackpink,6,64.48,68.32,66.67,66.49
"니가 하면 If You Do",got7,2,91.37,31.36,76.74,66.49
"Dancing In The Rain","nct u",5,71.93,59.73,67.52,66.39
"Need Your Love (with Noah Kahan)",gryffin,3,73.67,41.23,84.21,66.37
"Free (with Drew Love)","louis the child",6,64.06,68.32,66.67,66.35
Wet,"jeon ji woo",6,65.98,68.32,64.74,66.35
"Serendipity (Full Length Edition)",bts,15,60.30,85.17,53.25,66.24
"sad day","fka twigs",3,73.05,41.23,84.21,66.16
"Help - Elephante Remix",galantis,6,63.45,68.32,66.67,66.15
Flower,seventeen,14,60.31,85.71,52.35,66.12
"break up with your girlfriend, i'm bored","ariana grande",3,72.66,41.23,84.21,66.03
Fever,gfriend,6,63.07,68.32,66.67,66.02
Better,too,2,89.14,31.36,76.74,65.75
LIT,oneus,7,59.64,72.85,64.74,65.74
"러시안 룰렛 Russian Roulette","red velvet",25,59.13,87.09,50.99,65.74
"Breathe 2.0",vincent,7,59.57,72.85,64.74,65.72
MOVE,"sixc (6 crazy)",4,76.17,50.88,69.78,65.61
"We Can Get High",galantis,5,69.55,59.73,67.52,65.6
"God’s Menu","stray kids",11,62.51,83.2,51.05,65.59
"Rush Over Me","seven lions",7,58.92,72.85,64.74,65.5
Hobgoblin,clc,4,75.77,50.88,69.78,65.48
Loved,highlight,4,75.75,50.88,69.78,65.47
"You Are My Love","seo kang-jun",4,75.66,50.88,69.78,65.44
Advice,kehlani,4,75.58,50.88,69.78,65.41
"BLIND FOR LOVE",ab6ix,4,75.47,50.88,69.78,65.38
"Sunflower - Spider-Man: Into the Spider-Verse","post malone",4,75.45,50.88,69.78,65.37
"gimme gimme","nct 127",4,75.33,50.88,69.78,65.33
"Smile Flower",seventeen,8,66.50,80.21,49.24,65.32
"No diggity",oneus,4,75.27,50.88,69.78,65.31
"하드캐리 Hard Carry",got7,4,75.26,50.88,69.78,65.31
SUNSET,knk,4,75.24,50.88,69.78,65.3
"소방차 Fire Truck","nct 127",4,75.16,50.88,69.78,65.27
"Our Summer","tomorrow x together",4,75.12,50.88,69.78,65.26
"ONE(Lucid Dream)","golden child",4,75.08,50.88,69.78,65.25
"Always You",astro,4,75.07,50.88,69.78,65.24
"Work It","nct u",4,75.00,50.88,69.78,65.22
Alright!,verivery,12,47.02,83.89,64.74,65.22
MIROH,"stray kids",4,75.01,50.88,69.78,65.22
"Mean It (feat. Wrabel)","cash cash",4,75.00,50.88,69.78,65.22
"Every Minute",astro,4,75.00,50.88,69.78,65.22
"All Me (feat. Keyshia Cole) - King Henry Remix",kehlani,4,75.01,50.88,69.78,65.22
HOME;RUN,seventeen,4,75.00,50.88,69.78,65.22
"Lost At Sea",zedd,3,82.41,41.23,71.93,65.19
"9 and Three Quarters - Run Away","tomorrow x together",6,62.26,68.32,64.74,65.11
"Wish For You","kang in soo",4,47.14,83.2,64.74,65.03
"Christmas EveL","stray kids",5,67.85,59.73,67.52,65.03
"Ice Queen",baekhyun,4,74.26,50.88,69.78,64.97
"Don’t Fear Now",too,6,59.90,68.32,66.67,64.96
"All I Want",conro,5,67.58,59.73,67.52,64.94
Alive,"paris blohm",8,64.21,77.44,52.86,64.84
Honey,kehlani,5,67.16,59.73,67.52,64.8
"Kiss Me More (feat. SZA)","doja cat",1,61.11,68.32,64.74,64.72
WONDERLAND,ateez,8,63.36,77.44,52.86,64.55
"Girl Front","looπδ / odd eye circle",2,85.33,31.36,76.74,64.48
Magnolia,too,12,56.30,83.89,53.2,64.46
"Regular - English Version","nct 127",10,60.49,81.87,50.99,64.45
Revival,cix,6,60.17,68.32,64.74,64.41
Taillight,too,2,85.10,31.36,76.74,64.4
"CALL CALL CALL!",seventeen,17,58.64,86.35,48.16,64.38
"You Don't Know About Me (R3hab Remix)","ella vos",9,59.82,80.21,53.08,64.37
"Ko Ko Bop",exo,8,62.65,77.44,52.86,64.32
"I Wanna Be",kehlani,9,59.62,80.21,53.08,64.3
MORE,k/da,4,72.23,50.88,69.78,64.3
"On & On",cartoon,8,62.57,77.44,52.86,64.29
FANCY,twice,8,62.57,77.44,52.86,64.29
"Sour Candy (with BLACKPINK)","lady gaga",8,62.57,77.44,52.86,64.29
HOME,bts,6,59.09,68.32,64.74,64.05
"운명 The Chance of Love",tvxq!,5,64.84,59.73,67.52,64.03
"Call You (feat. Nasri of MAGIC!)","cash cash",5,64.50,59.73,67.52,63.92
Whiplash,"nct 127",8,49.49,77.44,64.74,63.89
"My Story, My Song",sf9,9,58.25,80.21,53.08,63.85
"Come With Me","golden child",9,58.18,80.21,53.08,63.82
L.O.V.E,"park ji hoon",5,66.76,59.73,64.74,63.74
"Conquerors (Part Two)",hardwell,4,70.31,50.88,69.78,63.66
"My Lover",a.c.e,13,53.84,84.43,52.01,63.43
Location,khalid,4,74.53,50.88,64.74,63.38
Desire,ateez,5,62.83,59.73,67.52,63.36
"Red Lipstick (feat. Yoonmirae)",leehi,12,54.18,83.89,51.95,63.34
"Say My Name",ans,3,66.84,50.88,71.93,63.22
Friends,bts,10,59.54,81.87,48.1,63.17
"tomorrow tonight",loote,8,58.87,77.44,52.86,63.06
"Wow (Lee Know, Hyunjin, Felix)","stray kids",4,73.46,50.88,64.74,63.03
Psycho,"red velvet",23,55.96,86.88,45.95,62.93
Q&A,"cherry bullet",7,63.43,72.85,52.35,62.88
"What Am I","why don't we",4,64.13,59.73,64.74,62.87
"Hold me tight",verivery,5,61.23,59.73,67.52,62.83
"아 왜 I Wait",day6,8,61.34,77.44,49.24,62.67
"MY FACE",verivery,10,52.89,81.87,53.14,62.63
"Break Silence","mark redito",6,54.83,68.32,64.74,62.63
"Shivers (feat. Jessi & SUNMI)","ed sheeran",2,69.15,41.23,76.74,62.37
"New Best Friend","neon trees",6,54.02,68.32,64.74,62.36
Trauma,sf9,3,73.86,41.23,71.93,62.34
"Everybody Talks","neon trees",7,49.23,72.85,64.74,62.27
"Summertime Magic","childish gambino",5,61.76,59.73,64.74,62.08
Pray,"kim jae hwan",4,70.04,50.88,64.74,61.89
Nightlight,illenium,9,55.73,80.21,49.35,61.76
"City Dove","tori kelly",5,60.51,59.73,64.74,61.66
"Pirate King",ateez,8,58.22,77.44,49.24,61.63
"boyfriend (with Social House)","ariana grande",7,59.65,72.85,52.35,61.62
"Love To Hate Me",blackpink,10,51.84,81.87,50.99,61.57
Zombie,day6,4,68.91,50.88,64.74,61.51
"Happy Ending - Korean Ver.",seventeen,7,59.09,72.85,52.35,61.43
"LOVE FOOLISH",twice,6,63.19,68.32,51.95,61.15
"Mixtape : Gone Days","stray kids",8,53.10,77.44,52.86,61.13
"Black on Black",nct,9,55.09,80.21,48.05,61.12
Phonecert,10cm,3,70.20,41.23,71.93,61.12
"Flip A Coin",victon,2,75.18,31.36,76.74,61.09
Superposition,"young the giant",16,51.84,85.55,45.84,61.08
"Red Moon","kim woo seok",4,58.44,59.73,64.74,60.97
EOEO,uniq,3,69.61,41.23,71.93,60.92
"Free Woman","lady gaga",6,62.32,68.32,51.95,60.86
"Shine Shine","the boyz",3,69.27,41.23,71.93,60.81
memories,woodz,3,66.75,50.88,64.74,60.79
Scared,p1harmony,3,66.67,50.88,64.74,60.76
"Lose You","eric nam",2,74.12,31.36,76.74,60.74
Obsession,exo,8,55.25,77.44,49.24,60.64
BREATHE,ab6ix,3,68.77,41.23,71.93,60.64
20,cix,4,66.16,50.88,64.74,60.59
"Red Flavor","red velvet",8,54.94,77.44,49.24,60.54
"MORE & MORE",twice,3,68.37,41.23,71.93,60.51
FAM,"stray kids",3,68.28,41.23,71.93,60.48
"On Rainy Days",beast,4,65.76,50.88,64.74,60.46
Connect,verivery,2,72.86,31.36,76.74,60.32
"Look at the Sky","porter robinson",2,72.76,31.36,76.74,60.29
"2 MINUS 1 - Bonus Track",seventeen,7,55.61,72.85,52.35,60.27
BBUSYEO,oneus,3,67.62,41.23,71.93,60.26
Crush,mcnd,4,51.25,59.73,69.78,60.25
"Happy Ending",seventeen,8,50.34,77.44,52.86,60.21
"t r a n s p a r e n t s o u l feat. Kid Cudi & Travis Barker - Remix",willow,1,94.24,21.49,64.74,60.16
"A song for you",gaho,6,60.02,68.32,51.95,60.1
"Day 'N' Nite - Crookers Remix","kid cudi",3,67.10,41.23,71.93,60.09
Mikrokosmos,bts,6,59.90,68.32,51.95,60.06
Egotistic,mamamoo,3,66.84,41.23,71.93,60
"Sweet Winter","weki meki",1,93.76,21.49,64.74,60
Drama,"tomorrow x together",5,55.50,59.73,64.74,59.99
Fear,myrne,8,53.23,77.44,49.24,59.97
"Man In Love",infinite,3,66.41,41.23,71.93,59.86
Privacy,verivery,6,54.73,72.85,51.95,59.84
"Cyber Sex","doja cat",10,52.17,81.87,45.39,59.81
Groove,exo,5,60.08,68.32,50.99,59.8
"Best Of Me",bts,6,59.09,68.32,51.95,59.79
"Say Yes",seventeen,4,63.73,50.88,64.74,59.78
"Please Me","cardi b",9,49.45,80.21,49.35,59.67
Follow,"monsta x",11,51.65,83.2,43.8,59.55
BOUNCY,"rocket punch",4,57.86,50.88,69.78,59.51
"GOOD BOY","gd x taeyang",2,70.06,31.36,76.74,59.39
"Not Today",bts,10,50.23,81.87,45.39,59.16
"Precious (Overture)",ateez,6,57.20,68.32,51.95,59.16
Whatever,"cherry bullet",2,69.23,31.36,76.74,59.11
Prayer,to1,6,52.46,72.85,51.95,59.09
"미친거 아니야 GO CRAZY!",2pm,2,68.84,31.36,76.74,58.98
"Lie Again",seventeen,14,46.13,84.85,45.9,58.96
"Dally (feat. GRAY)",hyolyn,7,55.54,72.85,48.39,58.93
Numb,jessi,15,46.06,85.17,45.39,58.87
"Happy Ending",mika,2,68.18,31.36,76.74,58.76
Still,dkb,9,51.85,80.21,44.03,58.7
Why,taeyeon,4,60.44,50.88,64.74,58.69
"I Wanna Know","rl grime",8,49.34,77.44,49.24,58.67
"Faded In My Last Song","nct u",9,47.63,80.21,48.05,58.63
THANXX,ateez,6,59.47,68.32,48.05,58.61
Gashina,sunmi,8,52.47,77.44,45.84,58.58
BAE,hyolyn,10,50.22,81.87,43.63,58.57
"Raise The Roof","nct u",8,52.27,77.44,45.84,58.52
"You’re the Best",mamamoo,11,48.38,83.2,43.8,58.46
comethru,"jeremy zucker",8,52.06,77.44,45.84,58.45
"Go Up",sb19,1,88.90,21.49,64.74,58.38
"Show Me",key,4,59.32,50.88,64.74,58.31
"Never Not",lauv,8,51.60,77.44,45.84,58.29
"Turn Back Time",wayv,5,64.09,59.73,50.99,58.27
"Lotto (feat.Don Mills) (Prod. by Gonzo)",vernon,6,54.50,68.32,51.95,58.26
Close,synchronice,2,66.69,31.36,76.74,58.26
"YES or YES",twice,4,59.09,50.88,64.74,58.24
"예뻤어 You Were Beautiful",day6,6,54.40,68.32,51.95,58.22
"No More (Prod. Zion.T)","kim yo han",4,58.97,50.88,64.74,58.2
"Bad Idea",moonbin&sanha(astro),11,47.54,83.2,43.8,58.18
"No Air","the boyz",6,49.18,72.85,51.95,57.99
"Love Again",baekhyun,6,53.56,68.32,51.95,57.94
Illusion,ateez,8,50.54,77.44,45.84,57.94
"SHOOT THE MOON",bdc,3,67.51,41.23,64.74,57.83
Beautiful,beast,3,67.49,41.23,64.74,57.82
Intentions,"justin bieber",2,49.63,80.21,43.63,57.82
Divinity,"porter robinson",4,57.84,50.88,64.74,57.82
"FLOWER SHOWER",hyuna,3,67.43,41.23,64.74,57.8
"Somewhere (Feat. GRAY, Hoody, ELO & DeVita)",goosebumps,9,49.13,80.21,44.03,57.79
"SCIENTIST - R3HAB Remix",twice,1,87.12,21.49,64.74,57.78
OOPSY,"weki meki",3,67.35,41.23,64.74,57.77
Capsize,frenship,2,65.21,31.36,76.74,57.77
"Pass Me By","golden child",6,52.77,68.32,51.95,57.68
"Waste It On Me","steve aoki",3,67.08,41.23,64.74,57.68
"Bomb Bomb",kard,3,67.08,41.23,64.74,57.68
"No More","pierce fulton",3,67.00,41.23,64.74,57.66
Panorama,iz*one,3,66.99,41.23,64.74,57.65
"Singing in the Rain",loona,3,66.99,41.23,64.74,57.65
"Without You",seventeen,3,66.96,41.23,64.74,57.64
"F U L L / B U R S T",1788-l,3,66.91,41.23,64.74,57.63
"My Pace","stray kids",3,66.90,41.23,64.74,57.62
Moonlight,cravity,6,56.46,68.32,48.05,57.61
"Forgive Me Now",bh,3,66.86,41.23,64.74,57.61
"Dazzling Light",ateez,3,66.83,41.23,64.74,57.6
"Compromised - Christofi Remix","tim atlas",3,66.83,41.23,64.74,57.6
"Blue Hour","tomorrow x together",3,66.74,41.23,64.74,57.57
"Dance The Night Away",twice,3,66.67,41.23,64.74,57.55
"Stuck with U (with Justin Bieber)","ariana grande",3,66.67,41.23,64.74,57.55
"Me Like Yuh","jay park",3,66.67,41.23,64.74,57.55
Sunburn,droeloe,2,63.85,31.36,76.74,57.32
Barbie,"jang ye eun",4,56.24,50.88,64.74,57.29
"Who am I","weki meki",6,50.95,72.85,48.05,57.28
"Love Cherry Motion",loona,5,61.01,59.73,50.99,57.24
WANNABE,"golden child",8,50.61,77.44,43.63,57.23
"THANK U",ateez,6,55.28,68.32,48.05,57.22
"lift me from the ground - Manila Killa Remix","san holo",10,46.12,81.87,43.63,57.21
WANNABE,itzy,5,60.89,59.73,50.99,57.2
Utopia,ateez,4,55.78,50.88,64.74,57.13
"The Eye",infinite,2,63.30,31.36,76.74,57.13
DNA,bts,5,60.64,59.73,50.99,57.12
"Yes I Am",mamamoo,5,60.64,59.73,50.99,57.12
gogobebe,mamamoo,10,45.77,81.87,43.63,57.09
"Black And White","niall horan",5,60.54,59.73,50.99,57.09
"Leaving (feat. Yuna)",ekali,8,50.15,77.44,43.63,57.07
"PLAYING WITH FIRE",blackpink,2,63.07,31.36,76.74,57.06
Cassette,demian,5,60.43,59.73,50.99,57.05
IDOL,bts,5,60.43,59.73,50.99,57.05
Infinite,habstrakt,7,53.83,72.85,44.48,57.05
"REALLY REALLY",winner,5,60.30,59.73,50.99,57.01
"Dear No One","tori kelly",5,60.27,59.73,50.99,57
Dizzy,oneus,5,60.24,59.73,50.99,56.99
"'Til It's Over","anderson .paak",5,60.23,59.73,50.99,56.98
Knock,astro,5,60.23,59.73,50.99,56.98
"Just Like The Rain",gray,5,60.18,59.73,50.99,56.97
FIESTA,iz*one,9,46.67,80.21,44.03,56.97
"Burn The Memory (feat. GIRIBOY)",dvwn,5,60.13,59.73,50.99,56.95
"Dreams Come True","nct 127",5,60.14,59.73,50.99,56.95
"Love U Right - Disco Fries Remix",tritonal,5,60.10,59.73,50.99,56.94
"Paper Hearts","tori kelly",5,60.08,59.73,50.99,56.93
"Breakthrough (Full Version)",p1harmony,6,54.38,68.32,48.05,56.92
"COME BACK HOME",oneus,4,54.98,50.88,64.74,56.87
"Time Of Love",ateez,1,74.45,31.36,64.74,56.85
Chaotic,"monsta x",5,59.74,59.73,50.99,56.82
"Heart Brew Love",astro,7,49.18,72.85,48.39,56.81
"Hello Goodbye",to1,7,49.04,72.85,48.39,56.76
"MAMMA MIA",sf9,7,52.60,72.85,44.48,56.64
Rainbow,"nct dream",1,83.45,21.49,64.74,56.56
"Love Die Young","eric nam",10,49.94,81.87,37.13,56.31
"Paris in the Rain",lauv,8,42.86,80.21,45.84,56.3
"Forever Young",blackpink,10,49.88,81.87,37.13,56.29
ZONE,"monsta x",7,46.95,77.44,44.48,56.29
"Room Shaker",ailee,2,60.42,31.36,76.74,56.17
"Television / So Far So Good","rex orange county",14,45.32,84.85,37.69,55.95
"My Heart","alex sonata",6,51.20,68.32,48.05,55.86
"NUNU NANA",jessi,13,46.62,84.43,36.33,55.79
Nonstop,"oh my girl",6,50.96,68.32,48.05,55.78
Calavera,hardwell,7,49.98,72.85,44.48,55.77
"GOOD GIRL",hyuna,7,46.04,72.85,48.39,55.76
"Love Song","nct 127",6,50.86,68.32,48.05,55.74
"What Lovers Do (feat. SZA)","maroon 5",5,56.28,59.73,50.99,55.67
"Lover Boy","phum viphurit",4,66.68,50.88,49.24,55.6
"Dumb Litty",kard,6,50.24,72.85,43.63,55.57
UNNATURAL,wjsn,6,50.12,72.85,43.63,55.53
"Teenage Birdsong - Overmono Remix","four tet",13,44.22,84.43,37.92,55.52
WAITING,woodz,2,58.24,31.36,76.74,55.45
"Water Resistant",anamanaguchi,1,80.00,21.49,64.74,55.41
"Call my name",cravity,3,52.89,41.23,71.93,55.35
Dynamite,bts,7,50.84,77.44,37.69,55.32
"Excuse Me",bestie,1,79.69,21.49,64.74,55.31
"SHAKE IT",sistar,2,57.77,31.36,76.74,55.29
"Why Why Why",ikon,2,57.51,31.36,76.74,55.2
Cartoon,zico,5,54.52,59.73,50.99,55.08
Illusion,zedd,9,40.97,80.21,44.03,55.07
Trigger,woodz,9,45.77,83.2,36.05,55.01
What,sb19,2,68.69,31.36,64.74,54.93
"I got love","monsta x",5,54.03,59.73,50.99,54.92
Language,"porter robinson",8,41.45,77.44,45.84,54.91
"I Just Wanna Be Loved",jordy,1,68.61,31.36,64.74,54.9
"Take Me Home",ateez,5,59.53,59.73,45.39,54.88
"Dance To This (feat. Ariana Grande)","troye sivan",6,43.81,68.32,51.95,54.69
Dank,"jay park",11,42.85,83.2,37.86,54.64
Streets,"doja cat",1,77.70,21.49,64.74,54.64
"You Never Know",blackpink,9,45.80,80.21,37.8,54.6
"STAY THE NIGHT (Feat. DeVita)",gray,6,47.18,68.32,48.05,54.52
"눈,코,입 (Eyes, Nose, Lips)",taeyang,8,49.69,77.44,36.28,54.47
SALUTE,ab6ix,8,41.73,77.44,43.63,54.27
Euphoria,bts,5,49.01,68.32,45.39,54.24
"UN Village",baekhyun,7,45.31,72.85,44.48,54.21
"Tiger Inside",superm,19,40.11,86.19,36.11,54.14
nanana,mcnd,6,50.44,68.32,43.63,54.13
"Then We",jeebanoff,5,51.57,59.73,50.99,54.1
Betcha,baekhyun,6,50.33,68.32,43.63,54.09
"Tia Tamera (feat. Rico Nasty)","doja cat",6,50.28,68.32,43.63,54.08
"Like You",aobeats,6,50.24,68.32,43.63,54.06
"Oh NaNa (Hidden. HUR YOUNG JI)",kard,6,50.19,68.32,43.63,54.05
"Role Play",astro,6,50.18,68.32,43.63,54.04
"CALL ME BABY",exo,6,50.15,68.32,43.63,54.03
Closer,elephante,6,50.07,68.32,43.63,54.01
"TOP GANG",mcnd,6,50.06,68.32,43.63,54
"Pink Walk",gaho,10,42.92,81.87,37.13,53.97
"Not Alone","nct 127",6,49.77,68.32,43.63,53.91
"Bless You (Feat. Sam Kim, WOODZ, pH-1)",primary,6,44.77,68.32,48.05,53.71
"Anywhere (feat. Will Heard)","dillon francis",5,55.95,59.73,45.39,53.69
"Oxygen (Borgeous Remix)","dirty heads",9,44.73,80.21,36.05,53.66
"Drip (Feat. Jay Park)",jessi,10,41.89,81.87,37.13,53.63
"Step By Step",too,2,54.60,41.23,64.74,53.52
I.O.U,"nct u",6,43.69,68.32,48.05,53.35
"New Best Friend (DVRKO Remix)","neon trees",6,48.04,68.32,43.63,53.33
"Plz Don't Be Sad",highlight,4,50.38,59.73,49.24,53.12
"TRASH (Feat. pH-1)","whee in",2,63.20,31.36,64.74,53.1
"Need to Know","doja cat",1,73.00,21.49,64.74,53.08
"Close To You",rihanna,6,46.80,68.32,43.63,52.92
ISLAND,youha,1,72.48,21.49,64.74,52.9
"Chain - Korean Version","nct 127",5,53.47,59.73,45.39,52.86
"Out Of Control","the boyz",1,72.25,21.49,64.74,52.83
"Shake The Earth",elephante,6,42.01,68.32,48.05,52.79
"Son of Beast - English Version",to1,2,62.22,31.36,64.74,52.77
"Crazy Over You",blackpink,6,46.33,68.32,43.63,52.76
"Dancing Till We Drop","the boyz",1,72.03,21.49,64.74,52.75
Telephone,exo-sc,10,39.18,81.87,37.13,52.73
"Burn It","golden child",12,36.98,83.89,37.18,52.68
Potions,slander,9,41.73,80.21,36.05,52.66
Rouge,tokimonsta,5,52.67,59.73,45.39,52.6
"fake smile","ariana grande",7,46.99,72.85,37.69,52.51
Aurora,ateez,6,41.04,68.32,48.05,52.47
"We Were Young - Robotaki Remix","petit biscuit",6,40.72,68.32,48.05,52.36
"Play It Cool","terry zhong",7,46.29,72.85,37.69,52.28
"Another Day","stray kids",5,51.68,59.73,45.39,52.27
"Dream Fatigue",waysh,2,60.51,31.36,64.74,52.2
"I CAN'T STOP ME",twice,9,43.87,80.21,32.43,52.17
Helios,ekali,7,39.14,72.85,44.48,52.16
"Worth It All",tritonal,6,44.24,68.32,43.63,52.06
"Higher Ground (feat. Naomi Wild)",odesza,6,39.59,68.32,48.05,51.99
"Flow (Habstrakt Remix)",nitepunk,1,69.73,21.49,64.74,51.99
"Way Back Home",shaun,5,40.95,77.44,37.13,51.84
Potion,"eric nam",7,44.71,72.85,37.69,51.75
